frame_number,track_id,vehicle_class,x1,y1,x2,y2,centroid_x,centroid_y,confidence
11,2,bus,611.79,478.45,837.55,797.42,724.67,637.93,0.938
11,3,car,227.88,595.53,394.64,729.92,311.26,662.72,0.9154
11,4,car,511.45,431.98,617.25,525.69,564.35,478.83,0.8754
11,5,car,520.25,815.88,710.16,1051.23,615.2,933.55,0.8768
11,6,car,1395.91,618.71,1507.97,736.5,1451.94,677.61,0.8656
11,7,car,668.33,369.86,753.04,454.7,710.68,412.28,0.8914
11,8,car,599.49,324.07,674.65,388.99,637.07,356.53,0.8199
11,9,car,562.55,528.28,671.8,646.19,617.18,587.23,0.8333
11,10,car,720.32,283.38,772.9,341.4,746.61,312.39,0.8073
11,11,car,699.79,241.29,755.88,281.88,727.83,261.59,0.7479
